WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
1,09/13,@BUF,L14-27,1,1,3,17,5.7,8,1,--,--,--,--,--,--,--,Dwayne Allen,2015
2,09/21,NYJ,L7-20,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2015
3,09/27,@TEN,W35-33,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2015
4,10/04,JAC,W16-13,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2015
5,10/08,@HOU,W27-20,1,1,1,21,21.0,21,0,--,--,--,--,--,--,--,Dwayne Allen,2015
6,10/18,NE,L27-34,1,1,3,23,7.7,10,0,--,--,--,--,--,--,--,Dwayne Allen,2015
7,10/25,NO,L21-27,1,1,1,10,10.0,10,0,--,--,--,--,--,--,--,Dwayne Allen,2015
8,11/02,@CAR,L26-29,1,1,1,4,4.0,4,0,--,--,--,--,--,--,--,Dwayne Allen,2015
9,11/08,DEN,W27-24,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2015
10,Bye,,,,,,,,,,,,,,,,,Dwayne Allen,2015
11,11/22,@ATL,W24-21,1,1,1,7,7.0,7,0,--,--,--,--,--,--,--,Dwayne Allen,2015
12,11/29,TB,W25-12,1,1,2,19,9.5,11,0,--,--,--,--,--,--,--,Dwayne Allen,2015
13,12/06,@PIT,L10-45,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--,Dwayne Allen,2015
14,12/13,@JAC,L16-51,1,1,2,-3,-1.5,6,0,--,--,--,--,--,--,--,Dwayne Allen,2015
15,12/20,HOU,L10-16,1,0,1,5,5.0,5,0,1,1,1.0,1,0,--,--,Dwayne Allen,2015
16,12/27,@MIA,W18-12,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2015
1,09/07,@DEN,L24-31,1,1,4,64,16.0,41T,1,--,--,--,--,--,1,0,Dwayne Allen,2014
2,09/15,PHI,L27-30,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2014
3,09/21,@JAC,W44-17,1,1,4,43,10.8,22,1,--,--,--,--,--,--,--,Dwayne Allen,2014
4,09/28,TEN,W41-17,1,1,3,38,12.7,17,1,--,--,--,--,--,--,--,Dwayne Allen,2014
5,10/05,BAL,W20-13,1,1,4,59,14.8,28,1,--,--,--,--,--,--,--,Dwayne Allen,2014
6,10/09,@HOU,W33-28,1,1,3,49,16.3,18,0,--,--,--,--,--,--,--,Dwayne Allen,2014
7,10/19,CIN,W27-0,1,1,3,52,17.3,32T,1,--,--,--,--,--,--,--,Dwayne Allen,2014
8,10/26,@PIT,L34-51,1,1,1,21,21.0,21T,1,--,--,--,--,--,--,--,Dwayne Allen,2014
9,11/03,@NYG,W40-24,1,1,4,48,12.0,35,1,--,--,--,--,--,--,--,Dwayne Allen,2014
10,Bye,,,,,,,,,,,,,,,,,Dwayne Allen,2014
11,11/16,NE,L20-42,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2014
12,11/23,JAC,W23-3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2014
13,11/30,WAS,W49-27,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2014
14,12/07,@CLE,W25-24,1,1,1,5,5.0,5,0,--,--,--,--,--,--,--,Dwayne Allen,2014
15,12/14,HOU,W17-10,1,1,2,16,8.0,13,1,--,--,--,--,--,--,--,Dwayne Allen,2014
16,12/21,@DAL,L7-42,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Dwayne Allen,2014
17,12/28,@TEN,W27-10,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2014
1,09/08,OAK,W21-17,1,1,1,20,20.0,20T,1,--,--,--,--,--,--,--,Dwayne Allen,2013
2,09/15,MIA,L20-24,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2013
1,09/09,@CHI,L21-41,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Dwayne Allen,2012
2,09/16,MIN,W23-20,1,1,1,3,3.0,3T,1,1,0,0.0,0,0,--,--,Dwayne Allen,2012
3,09/23,JAC,L17-22,1,1,5,35,7.0,17,0,--,--,--,--,--,--,--,Dwayne Allen,2012
4,Bye,,,,,,,,,,,,,,,,,Dwayne Allen,2012
5,10/07,GB,W30-27,1,1,4,38,9.5,11,1,--,--,--,--,--,--,--,Dwayne Allen,2012
6,10/14,@NYJ,L9-35,1,1,2,33,16.5,21,0,--,--,--,--,--,--,--,Dwayne Allen,2012
7,10/21,CLE,W17-13,1,1,1,9,9.0,9,0,--,--,--,--,--,--,--,Dwayne Allen,2012
8,10/28,@TEN,W19-13,1,1,4,56,14.0,20,0,--,--,--,--,--,1,0,Dwayne Allen,2012
9,11/04,MIA,W23-20,1,1,6,75,12.5,22,0,--,--,--,--,--,--,--,Dwayne Allen,2012
10,11/08,@JAC,W27-10,1,1,2,31,15.5,27,0,--,--,--,--,--,--,--,Dwayne Allen,2012
11,11/18,@NE,L24-59,1,1,6,69,11.5,19,0,--,--,--,--,--,--,--,Dwayne Allen,2012
12,11/25,BUF,W20-13,1,1,3,36,12.0,24,0,--,--,--,--,--,--,--,Dwayne Allen,2012
13,12/02,@DET,W35-33,1,1,2,50,25.0,40,0,--,--,--,--,--,--,--,Dwayne Allen,2012
14,12/09,TEN,W27-23,1,1,1,11,11.0,11,0,--,--,--,--,--,--,--,Dwayne Allen,2012
15,12/16,@HOU,L17-29,1,1,3,36,12.0,16,1,1,3,3.0,3,0,--,--,Dwayne Allen,2012
16,12/23,@KC,W20-13,1,1,3,18,6.0,7,0,--,--,--,--,--,--,--,Dwayne Allen,2012
17,12/30,HOU,W28-16,1,1,2,21,10.5,20,0,1,2,2.0,2,0,--,--,Dwayne Allen,2012
17,01/03,@ATL,W20-17,0,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2015
7,10/19,@STL,L26-28,1,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2014
11,11/16,@KC,L20-24,0,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2014
12,11/23,ARI,W19-3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2014
13,11/27,@SF,W19-3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2014
14,12/07,@PHI,W24-14,0,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2014
15,12/14,SF,W17-7,0,0,--,--,--,--,--,--,--,--,--,--,--,--,RaShaun Allen,2014
1,09/07,OAK,W19-14,1,1,2,7,3.5,4,0,--,--,--,--,--,--,--,Jace Amaro,2014
2,09/14,@GB,L24-31,1,0,1,6,6.0,6,0,--,--,--,--,--,--,--,Jace Amaro,2014
3,09/22,CHI,L19-27,1,0,3,54,18.0,43,0,--,--,--,--,--,1,0,Jace Amaro,2014
4,09/28,DET,L17-24,1,0,5,58,11.6,21,0,--,--,--,--,--,--,--,Jace Amaro,2014
5,10/05,@SD,L0-31,1,1,3,19,6.3,9,0,--,--,--,--,--,--,--,Jace Amaro,2014
6,10/12,DEN,L17-31,1,0,10,68,6.8,15,1,--,--,--,--,--,--,--,Jace Amaro,2014
7,10/16,@NE,L25-27,1,0,3,22,7.3,12,0,--,--,--,--,--,--,--,Jace Amaro,2014
8,10/26,BUF,L23-43,1,1,5,51,10.2,20,0,--,--,--,--,--,--,--,Jace Amaro,2014
9,11/02,@KC,L10-24,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jace Amaro,2014
10,11/09,PIT,W20-13,1,0,2,6,3.0,5T,1,--,--,--,--,--,--,--,Jace Amaro,2014
11,Bye,,,,,,,,,,,,,,,,,Jace Amaro,2014
12,11/24,@BUF,L3-38,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Jace Amaro,2014
13,12/01,MIA,L13-16,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jace Amaro,2014
14,12/07,@MIN,L24-30,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jace Amaro,2014
15,12/14,@TEN,W16-11,1,0,1,20,20.0,20,0,--,--,--,--,--,--,--,Jace Amaro,2014
16,12/21,NE,L16-17,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Jace Amaro,2014
17,12/28,@MIA,W37-24,1,0,3,34,11.3,17,0,--,--,--,--,--,--,--,Jace Amaro,2014
9,Bye,,,,,,,,,,,,,,,,,Blake Annen,2014
10,11/09,@GB,L14-55,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
11,11/16,MIN,W21-13,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
12,11/23,TB,W21-13,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
13,11/27,@DET,L17-34,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
14,12/04,DAL,L28-41,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
15,12/15,NO,L15-31,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
16,12/21,DET,L14-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
17,12/28,@MIN,L9-13,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Annen,2014
1,09/13,@CHI,W31-23,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
2,09/20,SEA,W27-17,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
3,09/28,KC,W38-28,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
4,10/04,@SF,W17-3,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
5,10/11,STL,W24-10,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
6,10/18,SD,W27-20,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
7,Bye,,,,,,,,,,,,,,,,,Kennard Backman,2015
8,11/01,@DEN,L10-29,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
9,11/08,@CAR,L29-37,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
10,11/15,DET,L16-18,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
11,11/22,@MIN,W30-13,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
12,11/26,CHI,L13-17,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
13,12/03,@DET,W27-23,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
14,12/13,DAL,W28-7,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
15,12/20,@OAK,W30-20,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
16,12/27,@ARI,L8-38,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
17,01/03,MIN,L13-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Kennard Backman,2015
1,09/13,@NYJ,L10-31,1,1,3,38,12.7,22,0,--,--,--,--,--,--,--,Gary Barnidge,2015
2,09/20,TEN,W28-14,1,1,1,17,17.0,17,0,--,--,--,--,--,--,--,Gary Barnidge,2015
3,09/27,OAK,L20-27,1,0,6,105,17.5,40,1,--,--,--,--,--,--,--,Gary Barnidge,2015
4,10/04,@SD,L27-30,1,1,6,75,12.5,27,1,--,--,--,--,--,--,--,Gary Barnidge,2015
5,10/11,@BAL,W33-30,1,1,8,139,17.4,35,1,--,--,--,--,--,--,--,Gary Barnidge,2015
6,10/18,DEN,L23-26,1,0,3,39,13.0,14T,2,--,--,--,--,--,--,--,Gary Barnidge,2015
7,10/25,@STL,L6-24,1,1,6,101,16.8,28,0,--,--,--,--,--,--,--,Gary Barnidge,2015
8,11/01,ARI,L20-34,1,1,7,53,7.6,17,1,--,--,--,--,--,--,--,Gary Barnidge,2015
9,11/05,@CIN,L10-31,1,0,2,35,17.5,25,0,--,--,--,--,--,--,--,Gary Barnidge,2015
10,11/15,@PIT,L9-30,1,1,6,65,10.8,18,1,--,--,--,--,--,--,--,Gary Barnidge,2015
11,Bye,,,,,,,,,,,,,,,,,Gary Barnidge,2015
12,11/30,BAL,L27-33,1,1,7,91,13.0,30,0,--,--,--,--,--,--,--,Gary Barnidge,2015
13,12/06,CIN,L3-37,1,1,5,59,11.8,24,0,--,--,--,--,--,--,--,Gary Barnidge,2015
14,12/13,SF,W24-10,1,1,5,84,16.8,30,1,--,--,--,--,--,--,--,Gary Barnidge,2015
15,12/20,@SEA,L13-30,1,1,3,29,9.7,12,1,--,--,--,--,--,--,--,Gary Barnidge,2015
16,12/27,@KC,L13-17,1,1,3,47,15.7,24,0,--,--,--,--,--,--,--,Gary Barnidge,2015
17,01/03,PIT,L12-28,1,1,8,66,8.3,20,0,--,--,--,--,--,--,--,Gary Barnidge,2015
1,09/07,@PIT,L27-30,1,0,1,13,13.0,13,0,--,--,--,--,--,--,--,Gary Barnidge,2014
2,09/14,NO,W26-24,1,0,4,41,10.3,13,0,--,--,--,--,--,--,--,Gary Barnidge,2014
3,09/21,BAL,L21-23,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
4,Bye,,,,,,,,,,,,,,,,,Gary Barnidge,2014
5,10/05,@TEN,W29-28,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
6,10/12,PIT,W31-10,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
7,10/19,@JAC,L6-24,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2014
8,10/26,OAK,W23-13,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2014
9,11/02,TB,W22-17,1,0,2,16,8.0,13,0,--,--,--,--,--,--,--,Gary Barnidge,2014
10,11/06,@CIN,W24-3,1,0,2,46,23.0,28,0,--,--,--,--,--,--,--,Gary Barnidge,2014
11,11/16,HOU,L7-23,1,1,1,11,11.0,11,0,--,--,--,--,--,--,--,Gary Barnidge,2014
12,11/23,@ATL,W26-24,1,1,2,23,11.5,15,0,--,--,--,--,--,--,--,Gary Barnidge,2014
13,11/30,@BUF,L10-26,1,0,1,6,6.0,6,0,--,--,--,--,--,--,--,Gary Barnidge,2014
14,12/07,IND,L24-25,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
15,12/14,CIN,L0-30,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
16,12/21,@CAR,L13-17,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
17,12/28,@BAL,L10-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2014
1,09/08,MIA,L10-23,1,1,1,9,9.0,9,0,--,--,--,--,--,--,--,Gary Barnidge,2013
2,09/15,@BAL,L6-14,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2013
3,09/22,@MIN,W31-27,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2013
4,09/29,CIN,W17-6,1,1,1,2,2.0,2,0,--,--,--,--,--,--,--,Gary Barnidge,2013
5,10/03,BUF,W37-24,1,1,1,2,2.0,2,0,--,--,--,--,--,--,--,Gary Barnidge,2013
6,10/13,DET,L17-31,1,1,2,6,3.0,8,0,--,--,--,--,--,--,--,Gary Barnidge,2013
7,10/20,@GB,L13-31,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2013
8,10/27,@KC,L17-23,1,0,1,3,3.0,3,0,--,--,--,--,--,--,--,Gary Barnidge,2013
9,11/03,BAL,W24-18,1,0,1,4,4.0,4T,1,--,--,--,--,--,--,--,Gary Barnidge,2013
10,Bye,,,,,,,,,,,,,,,,,Gary Barnidge,2013
11,11/17,@CIN,L20-41,1,1,1,12,12.0,12,0,--,--,--,--,--,--,--,Gary Barnidge,2013
12,11/24,PIT,L11-27,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2013
13,12/01,JAC,L28-32,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2013
14,12/08,@NE,L26-27,1,0,2,49,24.5,40T,1,--,--,--,--,--,--,--,Gary Barnidge,2013
15,12/15,CHI,L31-38,1,1,1,17,17.0,17,0,--,--,--,--,--,--,--,Gary Barnidge,2013
16,12/22,@NYJ,L13-24,1,1,2,23,11.5,16,0,--,--,--,--,--,--,--,Gary Barnidge,2013
17,12/29,@PIT,L7-20,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2013
1,09/09,@TB,L10-16,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
2,09/16,NO,W35-27,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
3,09/20,NYG,L7-36,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
4,09/30,@ATL,L28-30,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
5,10/07,SEA,L12-16,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
6,Bye,,,,,,,,,,,,,,,,,Gary Barnidge,2012
7,10/21,DAL,L14-19,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
8,10/28,@CHI,L22-23,1,1,1,7,7.0,7,0,--,--,--,--,--,--,--,Gary Barnidge,2012
9,11/04,@WAS,W21-13,1,1,1,13,13.0,13,0,--,--,--,--,--,--,--,Gary Barnidge,2012
10,11/11,DEN,L14-36,1,0,1,8,8.0,8,0,--,--,--,--,--,--,--,Gary Barnidge,2012
11,11/18,TB,L21-27,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
12,11/26,@PHI,W30-22,1,0,1,24,24.0,24T,1,--,--,--,--,--,--,--,Gary Barnidge,2012
13,12/02,@KC,L21-27,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
14,12/09,ATL,W30-20,1,0,1,6,6.0,6,0,--,--,--,--,--,--,--,Gary Barnidge,2012
15,12/16,@SD,W31-7,1,0,1,20,20.0,20,0,--,--,--,--,--,--,--,Gary Barnidge,2012
16,12/23,OAK,W17-6,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
17,12/30,@NO,W44-38,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2012
1,09/12,@NYG,L18-31,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2010
2,09/19,TB,L7-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
3,09/26,CIN,L7-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
4,10/03,@NO,L14-16,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
5,10/10,CHI,L6-23,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
6,Bye,,,,,,,,,,,,,,,,,Gary Barnidge,2010
7,10/24,SF,W23-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
8,10/31,@STL,L10-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
9,11/07,NO,L3-34,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2010
10,11/14,@TB,L16-31,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
11,11/21,BAL,L13-37,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2010
12,11/28,@CLE,L23-24,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
13,12/05,@SEA,L14-31,1,1,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
14,12/12,ATL,L10-31,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2010
15,12/19,ARI,W19-12,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
16,12/23,@PIT,L3-27,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Gary Barnidge,2010
17,01/02,@ATL,L10-31,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Gary Barnidge,2010
1,09/14,MIN,W20-3,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
2,09/20,@PIT,L18-43,1,0,1,11,11.0,11,0,--,--,--,--,--,--,--,Blake Bell,2015
3,09/27,@ARI,L7-47,1,0,1,0,0.0,0,0,--,--,--,--,--,--,--,Blake Bell,2015
4,10/04,GB,L3-17,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
5,10/11,@NYG,L27-30,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--,Blake Bell,2015
6,10/18,BAL,W25-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
7,10/22,SEA,L3-20,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
8,11/01,@STL,L6-27,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
9,11/08,ATL,W17-16,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
10,Bye,,,,,,,,,,,,,,,,,Blake Bell,2015
11,11/22,@SEA,L13-29,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Blake Bell,2015
12,11/29,ARI,L13-19,1,0,3,67,22.3,48,0,--,--,--,--,--,--,--,Blake Bell,2015
13,12/06,@CHI,W26-20,1,1,1,5,5.0,5,0,--,--,--,--,--,--,--,Blake Bell,2015
14,12/13,@CLE,L10-24,1,1,3,49,16.3,24,0,--,--,--,--,--,--,--,Blake Bell,2015
15,12/20,CIN,L14-24,1,0,4,43,10.8,27,0,--,--,--,--,--,--,--,Blake Bell,2015
16,12/27,@DET,L17-32,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Blake Bell,2015
17,01/03,STL,W19-16,1,1,1,5,5.0,5,0,--,--,--,--,--,--,--,Blake Bell,2015
1,09/13,GB,L23-31,1,1,5,55,11.0,24T,1,--,--,--,--,--,--,--,Martellus Bennett,2015
2,09/20,ARI,L23-48,1,1,4,48,12.0,21,0,--,--,--,--,--,--,--,Martellus Bennett,2015
3,09/27,@SEA,L0-26,1,1,4,15,3.8,6,0,--,--,--,--,--,--,--,Martellus Bennett,2015
4,10/04,OAK,W22-20,1,1,11,83,7.5,24,1,--,--,--,--,--,1,0,Martellus Bennett,2015
5,10/11,@KC,W18-17,1,1,4,32,8.0,11,0,--,--,--,--,--,--,--,Martellus Bennett,2015
6,10/18,@DET,L34-37,1,1,6,59,9.8,19,0,--,--,--,--,--,--,--,Martellus Bennett,2015
7,Bye,,,,,,,,,,,,,,,,,Martellus Bennett,2015
8,11/01,MIN,L20-23,1,1,3,32,10.7,20,0,--,--,--,--,--,--,--,Martellus Bennett,2015
9,11/09,@SD,W22-19,1,1,8,57,7.1,17,1,--,--,--,--,--,--,--,Martellus Bennett,2015
10,11/15,@STL,W37-13,1,1,3,18,6.0,8,0,--,--,--,--,--,--,--,Martellus Bennett,2015
11,11/22,DEN,L15-17,1,1,2,26,13.0,17,0,--,--,--,--,--,--,--,Martellus Bennett,2015
12,11/26,@GB,W17-13,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Martellus Bennett,2015
13,12/06,SF,L20-26,1,1,3,14,4.7,7,0,--,--,--,--,--,1,0,Martellus Bennett,2015
1,09/07,BUF,L20-23,1,1,8,70,8.8,17,1,--,--,--,--,--,--,--,Martellus Bennett,2014
2,09/14,@SF,W28-20,1,0,7,37,5.3,10,1,--,--,--,--,--,--,--,Martellus Bennett,2014
3,09/22,@NYJ,W27-19,1,1,5,54,10.8,16,2,--,--,--,--,--,--,--,Martellus Bennett,2014
4,09/28,GB,L17-38,1,1,9,134,14.9,27,0,--,--,--,--,--,--,--,Martellus Bennett,2014
5,10/05,@CAR,L24-31,1,1,3,17,5.7,7,0,--,--,--,--,--,--,--,Martellus Bennett,2014
6,10/12,@ATL,W27-13,1,1,4,52,13.0,25,0,--,--,--,--,--,--,--,Martellus Bennett,2014
7,10/19,MIA,L14-27,1,1,5,58,11.6,21,0,--,--,--,--,--,--,--,Martellus Bennett,2014
8,10/26,@NE,L23-51,1,1,6,95,15.8,34,1,--,--,--,--,--,--,--,Martellus Bennett,2014
9,Bye,,,,,,,,,,,,,,,,,Martellus Bennett,2014
10,11/09,@GB,L14-55,1,1,2,45,22.5,37,0,--,--,--,--,--,--,--,Martellus Bennett,2014
11,11/16,MIN,W21-13,1,1,4,29,7.3,12,0,--,--,--,--,--,--,--,Martellus Bennett,2014
12,11/23,TB,W21-13,1,1,4,37,9.3,26,0,--,--,--,--,--,--,--,Martellus Bennett,2014
13,11/27,@DET,L17-34,1,1,8,109,13.6,23,0,--,--,--,--,--,--,--,Martellus Bennett,2014
14,12/04,DAL,L28-41,1,1,12,84,7.0,16,1,--,--,--,--,--,--,--,Martellus Bennett,2014
15,12/15,NO,L15-31,1,1,4,36,9.0,12,0,--,--,--,--,--,--,--,Martellus Bennett,2014
16,12/21,DET,L14-20,1,1,1,0,0.0,0,0,--,--,--,--,--,--,--,Martellus Bennett,2014
17,12/28,@MIN,L9-13,1,1,8,59,7.4,15,0,--,--,--,--,--,--,--,Martellus Bennett,2014
1,09/08,CIN,W24-21,1,1,3,49,16.3,30,1,--,--,--,--,--,--,--,Martellus Bennett,2013
2,09/15,MIN,W31-30,1,1,7,76,10.9,23,2,--,--,--,--,--,--,--,Martellus Bennett,2013
3,09/22,@PIT,W40-23,1,1,2,10,5.0,7,0,--,--,--,--,--,--,--,Martellus Bennett,2013
4,09/29,@DET,L32-40,1,1,8,90,11.3,30,0,--,--,--,--,--,--,--,Martellus Bennett,2013
5,10/06,NO,L18-26,1,1,5,56,11.2,18,0,--,--,--,--,--,--,--,Martellus Bennett,2013
6,10/10,NYG,W27-21,1,0,6,68,11.3,16,0,--,--,--,--,--,--,--,Martellus Bennett,2013
7,10/20,@WAS,L41-45,1,1,1,7,7.0,7T,1,--,--,--,--,--,--,--,Martellus Bennett,2013
8,Bye,,,,,,,,,,,,,,,,,Martellus Bennett,2013
9,11/04,@GB,W27-20,1,1,4,36,9.0,27,0,--,--,--,--,--,--,--,Martellus Bennett,2013
10,11/10,DET,L19-21,1,1,4,29,7.3,13,0,--,--,--,--,--,--,--,Martellus Bennett,2013
11,11/17,BAL,W23-20,1,1,2,48,24.0,43,0,--,--,--,--,--,--,--,Martellus Bennett,2013
12,11/24,@STL,L21-42,1,1,4,62,15.5,37,1,--,--,--,--,--,--,--,Martellus Bennett,2013
13,12/01,@MIN,L20-23,1,1,2,14,7.0,9,0,--,--,--,--,--,--,--,Martellus Bennett,2013
14,12/09,DAL,W45-28,1,1,5,43,8.6,15,0,--,--,--,--,--,--,--,Martellus Bennett,2013
15,12/15,@CLE,W38-31,1,1,6,71,11.8,23,0,--,--,--,--,--,1,1,Martellus Bennett,2013
16,12/22,@PHI,L11-54,1,1,5,85,17.0,30,0,--,--,--,--,--,--,--,Martellus Bennett,2013
17,12/29,GB,L28-33,1,1,1,15,15.0,15,0,--,--,--,--,--,--,--,Martellus Bennett,2013
1,09/05,DAL,L17-24,1,1,4,40,10.0,12,1,--,--,--,--,--,--,--,Martellus Bennett,2012
2,09/16,TB,W41-34,1,1,5,72,14.4,33T,1,--,--,--,--,--,--,--,Martellus Bennett,2012
