WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
3,09/21,PIT,L19-37,1,0,2,12,6.0,8,0,--,--,--,--,--,--,--,Jason Avant,2014
4,09/28,@BAL,L10-38,1,0,2,24,12.0,15,0,--,--,--,--,--,--,--,Jason Avant,2014
5,10/05,CHI,W31-24,1,0,2,42,21.0,22,0,--,--,--,--,--,--,--,Jason Avant,2014
6,10/12,@CIN,T37-37,1,0,5,47,9.4,17,0,--,--,--,--,--,--,--,Jason Avant,2014
7,10/19,@GB,L17-38,1,0,2,6,3.0,5,0,--,--,--,--,--,--,--,Jason Avant,2014
8,10/26,SEA,L9-13,1,0,0,0,--,--,0,1,1,1.0,1,0,--,--,Jason Avant,2014
9,10/30,NO,L10-28,1,0,1,8,8.0,8,0,--,--,--,--,--,--,--,Jason Avant,2014
10,11/10,@PHI,L21-45,1,0,1,8,8.0,8,0,--,--,--,--,--,--,--,Jason Avant,2014
11,11/16,ATL,L17-19,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jason Avant,2014
13,11/30,DEN,L16-29,1,0,2,30,15.0,19,0,--,--,--,--,--,--,--,Jason Avant,2014
14,12/07,@ARI,L14-17,1,0,5,64,12.8,41,0,--,--,--,--,--,--,--,Jason Avant,2014
15,12/14,OAK,W31-13,1,0,1,14,14.0,14,0,--,--,--,--,--,--,--,Jason Avant,2014
16,12/21,@PIT,L12-20,1,0,4,37,9.3,15,0,--,--,--,--,--,--,--,Jason Avant,2014
17,12/28,SD,W19-7,1,0,1,7,7.0,7,0,--,--,--,--,--,--,--,Jason Avant,2014
1,09/09,@WAS,W33-27,1,1,2,13,6.5,7,0,--,--,--,--,--,1,1,Jason Avant,2013
2,09/15,SD,L30-33,1,1,4,39,9.8,21,0,--,--,--,--,--,--,--,Jason Avant,2013
3,09/19,KC,L16-26,1,1,5,87,17.4,31,1,--,--,--,--,--,--,--,Jason Avant,2013
4,09/29,@DEN,L20-52,1,0,1,7,7.0,7,0,--,--,--,--,--,--,--,Jason Avant,2013
5,10/06,@NYG,W36-21,1,1,3,33,11.0,22,0,--,--,--,--,--,--,--,Jason Avant,2013
6,10/13,@TB,W31-20,1,1,4,21,5.3,7,0,--,--,--,--,--,--,--,Jason Avant,2013
7,10/20,DAL,L3-17,1,1,3,32,10.7,15,0,--,--,--,--,--,--,--,Jason Avant,2013
8,10/27,NYG,L7-15,1,1,3,54,18.0,25,0,--,--,--,--,--,--,--,Jason Avant,2013
9,11/03,@OAK,W49-20,1,1,0,0,--,--,0,--,--,--,--,--,--,--,Jason Avant,2013
10,11/10,@GB,W27-13,1,1,2,25,12.5,23,0,--,--,--,--,--,--,--,Jason Avant,2013
11,11/17,WAS,W24-16,1,1,1,5,5.0,5,0,--,--,--,--,--,--,--,Jason Avant,2013
12,Bye,,,,,,,,,,,,,,,,,Jason Avant,2013
13,12/01,ARI,W24-21,1,1,1,20,20.0,20,0,--,--,--,--,--,--,--,Jason Avant,2013
14,12/08,DET,W34-20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,Jason Avant,2013
15,12/15,@MIN,L30-48,1,1,3,40,13.3,16T,1,--,--,--,--,--,--,--,Jason Avant,2013
16,12/22,CHI,W54-11,1,0,3,26,8.7,17,0,--,--,--,--,--,--,--,Jason Avant,2013
17,12/29,@DAL,W24-22,1,1,3,45,15.0,22,0,--,--,--,--,--,--,--,Jason Avant,2013
1,09/09,@CLE,W17-16,1,0,4,27,6.8,8,0,--,--,--,--,--,--,--,Jason Avant,2012
2,09/16,BAL,W24-23,1,0,2,33,16.5,17,0,--,--,--,--,--,--,--,Jason Avant,2012
3,09/23,@ARI,L6-27,1,1,3,38,12.7,17,0,--,--,--,--,--,--,--,Jason Avant,2012
4,09/30,NYG,W19-17,1,0,2,30,15.0,23,0,--,--,--,--,--,--,--,Jason Avant,2012
5,10/07,@PIT,L14-16,1,0,3,34,11.3,12,0,--,--,--,--,--,--,--,Jason Avant,2012
6,10/14,DET,L23-26,1,0,2,21,10.5,17,0,--,--,--,--,--,--,--,Jason Avant,2012
7,Bye,,,,,,,,,,,,,,,,,Jason Avant,2012
8,10/28,ATL,L17-30,1,1,4,45,11.3,14,0,--,--,--,--,--,1,0,Jason Avant,2012
9,11/05,@NO,L13-28,1,0,6,56,9.3,13,0,--,--,--,--,--,--,--,Jason Avant,2012
10,11/11,DAL,L23-38,1,1,1,-1,-1.0,-1,0,--,--,--,--,--,--,--,Jason Avant,2012
11,11/18,@WAS,L6-31,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jason Avant,2012
12,11/26,CAR,L22-30,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Jason Avant,2012
13,12/02,@DAL,L33-38,1,0,4,79,19.8,29,0,--,--,--,--,--,--,--,Jason Avant,2012
14,12/09,@TB,W23-21,1,1,7,133,19.0,39,0,--,--,--,--,--,--,--,Jason Avant,2012
