WK,Game Date,Opp,Result,G,GS,FGBlk,FGLng,FGAtt,FGM,FGPct,XPM,XPAtt,XPPct,XPBlk,KO,KOAvg,TB,Ret,RetAvg,Player,Year
1,09/13,NYG,W27-26,1,0,0,32,2,2,100.0,3,3,100.0,0,6,65.0,6,0,--,Dan Bailey,2015
2,09/20,@PHI,W20-10,1,0,0,28,2,2,100.0,2,2,100.0,0,4,65.3,3,1,21.0,Dan Bailey,2015
3,09/27,ATL,L28-39,1,0,0,0,0,0,--,4,4,100.0,0,5,65.6,4,1,23.0,Dan Bailey,2015
4,10/04,@NO,L20-26,1,0,0,38,2,2,100.0,2,2,100.0,0,6,64.8,5,1,34.0,Dan Bailey,2015
5,10/11,NE,L6-30,1,0,0,51,2,2,100.0,0,0,--,0,3,65.0,3,0,--,Dan Bailey,2015
6,Bye,,,,,,,,,,,,,,,,,,,Dan Bailey,2015
7,10/25,@NYG,L20-27,1,0,0,48,2,2,100.0,2,2,100.0,0,5,66.0,2,3,49.7,Dan Bailey,2015
8,11/01,SEA,L12-13,1,0,0,52,4,4,100.0,0,0,--,0,5,63.4,4,1,18.0,Dan Bailey,2015
9,11/08,PHI,L27-33,1,0,0,44,2,2,100.0,3,3,100.0,0,7,65.0,7,0,--,Dan Bailey,2015
10,11/15,@TB,L6-10,1,0,0,53,3,2,66.7,0,0,--,0,3,65.0,3,0,--,Dan Bailey,2015
11,11/22,@MIA,W24-14,1,0,0,30,1,1,100.0,3,3,100.0,0,5,60.4,2,3,13.0,Dan Bailey,2015
12,11/26,CAR,L14-33,1,0,0,48,2,2,100.0,0,0,--,0,4,51.0,3,1,3.0,Dan Bailey,2015
13,12/07,@WAS,W19-16,1,0,0,54,4,4,100.0,1,1,100.0,0,6,65.3,1,5,25.0,Dan Bailey,2015
14,12/13,@GB,L7-28,1,0,0,0,0,0,--,1,1,100.0,0,2,69.0,0,2,20.0,Dan Bailey,2015
15,12/19,NYJ,L16-19,1,0,0,50,3,3,100.0,1,1,100.0,0,5,67.0,2,3,20.3,Dan Bailey,2015
16,12/27,@BUF,L6-16,1,0,0,46,3,2,66.7,0,0,--,0,3,60.3,1,2,18.0,Dan Bailey,2015
17,01/03,WAS,L23-34,1,0,0,0,0,0,--,3,3,100.0,0,4,52.0,3,0,--,Dan Bailey,2015
1,09/07,SF,L17-28,1,0,0,29,1,1,100.0,2,2,100.0,0,4,52.0,3,0,--,Dan Bailey,2014
2,09/14,@TEN,W26-10,1,0,0,51,4,4,100.0,2,2,100.0,0,7,63.1,2,5,13.6,Dan Bailey,2014
3,09/21,@STL,W34-31,1,0,0,40,2,2,100.0,4,4,100.0,0,7,67.0,5,2,26.5,Dan Bailey,2014
4,09/28,NO,W38-17,1,0,0,51,1,1,100.0,5,5,100.0,0,7,65.0,7,0,--,Dan Bailey,2014
5,10/05,HOU,W20-17,1,0,0,49,3,2,66.7,2,2,100.0,0,5,66.6,4,1,21.0,Dan Bailey,2014
6,10/12,@SEA,W30-23,1,0,0,56,3,3,100.0,3,3,100.0,0,7,69.1,2,5,28.4,Dan Bailey,2014
7,10/19,NYG,W31-21,1,0,0,49,1,1,100.0,4,4,100.0,0,6,67.7,3,3,29.0,Dan Bailey,2014
8,10/27,WAS,L17-20,1,0,0,21,1,1,100.0,2,2,100.0,0,5,65.0,5,0,--,Dan Bailey,2014
9,11/02,ARI,L17-28,1,0,1,52,2,1,50.0,2,2,100.0,0,4,47.8,2,1,0.0,Dan Bailey,2014
10,11/09,@JAC,W31-17,1,0,0,54,2,1,50.0,4,4,100.0,0,6,62.3,3,3,13.0,Dan Bailey,2014
11,Bye,,,,,,,,,,,,,,,,,,,Dan Bailey,2014
12,11/23,@NYG,W31-28,1,0,0,38,1,1,100.0,4,4,100.0,0,6,64.8,2,4,24.8,Dan Bailey,2014
13,11/27,PHI,L10-33,1,0,0,28,1,1,100.0,1,1,100.0,0,3,67.7,3,0,--,Dan Bailey,2014
14,12/04,@CHI,W41-28,1,0,0,35,2,2,100.0,5,5,100.0,0,8,65.6,2,6,24.2,Dan Bailey,2014
15,12/14,@PHI,W38-27,1,0,0,49,1,1,100.0,5,5,100.0,0,7,58.3,2,4,18.8,Dan Bailey,2014
16,12/21,IND,W42-7,1,0,0,0,1,0,0.0,6,6,100.0,0,7,67.4,5,2,28.5,Dan Bailey,2014
17,12/28,@WAS,W44-17,1,0,0,36,3,3,100.0,5,5,100.0,0,9,55.4,2,6,19.8,Dan Bailey,2014
1,09/08,NYG,W36-31,1,0,0,45,3,3,100.0,3,3,100.0,0,8,68.3,7,1,26.0,Dan Bailey,2013
2,09/15,@KC,L16-17,1,0,0,53,3,3,100.0,1,1,100.0,0,5,66.6,3,2,12.5,Dan Bailey,2013
3,09/22,STL,W31-7,1,0,0,19,2,1,50.0,4,4,100.0,0,6,67.2,4,2,23.0,Dan Bailey,2013
4,09/29,@SD,L21-30,1,0,0,0,1,0,0.0,3,3,100.0,0,4,67.8,3,1,18.0,Dan Bailey,2013
5,10/06,DEN,L48-51,1,0,0,48,2,2,100.0,4,4,100.0,0,8,64.5,4,4,23.3,Dan Bailey,2013
6,10/13,WAS,W31-16,1,0,0,30,1,1,100.0,4,4,100.0,0,6,62.0,4,2,14.5,Dan Bailey,2013
7,10/20,@PHI,W17-3,1,0,0,38,1,1,100.0,2,2,100.0,0,4,66.3,3,1,23.0,Dan Bailey,2013
8,10/27,@DET,L30-31,1,0,0,53,3,3,100.0,3,3,100.0,0,7,69.1,6,1,44.0,Dan Bailey,2013
9,11/03,MIN,W27-23,1,0,0,44,2,2,100.0,3,3,100.0,0,6,61.2,0,6,20.8,Dan Bailey,2013
10,11/10,@NO,L17-49,1,0,0,37,1,1,100.0,2,2,100.0,0,4,52.0,3,0,--,Dan Bailey,2013
11,Bye,,,,,,,,,,,,,,,,,,,Dan Bailey,2013
12,11/24,@NYG,W24-21,1,0,0,35,1,1,100.0,3,3,100.0,0,4,56.3,0,4,21.3,Dan Bailey,2013
13,11/28,OAK,W31-24,1,0,0,19,1,1,100.0,4,4,100.0,0,6,62.3,1,5,19.4,Dan Bailey,2013
14,12/09,@CHI,L28-45,1,0,0,0,0,0,--,4,4,100.0,0,5,45.8,0,3,20.7,Dan Bailey,2013
15,12/15,GB,L36-37,1,0,0,50,5,5,100.0,3,3,100.0,0,9,67.0,9,0,--,Dan Bailey,2013
16,12/22,@WAS,W24-23,1,0,0,25,1,1,100.0,3,3,100.0,0,5,63.0,0,5,21.4,Dan Bailey,2013
17,12/29,PHI,L22-24,1,0,0,44,3,3,100.0,1,1,100.0,0,6,65.7,5,1,11.0,Dan Bailey,2013
1,09/05,@NYG,W24-17,1,0,0,33,1,1,100.0,3,3,100.0,0,5,65.8,0,5,20.0,Dan Bailey,2012
2,09/16,@SEA,L7-27,1,0,0,0,0,0,--,1,1,100.0,0,2,62.0,1,1,20.0,Dan Bailey,2012
3,09/23,TB,W16-10,1,0,0,32,3,3,100.0,1,1,100.0,0,5,59.8,3,1,15.0,Dan Bailey,2012
4,10/01,CHI,L18-34,1,0,0,39,1,1,100.0,1,1,100.0,0,4,46.3,0,3,16.7,Dan Bailey,2012
5,Bye,,,,,,,,,,,,,,,,,,,Dan Bailey,2012
6,10/14,@BAL,L29-31,1,0,0,43,4,3,75.0,2,2,100.0,0,7,63.3,3,3,53.0,Dan Bailey,2012
7,10/21,@CAR,W19-14,1,0,0,49,4,4,100.0,1,1,100.0,0,6,66.0,3,2,24.0,Dan Bailey,2012
8,10/28,NYG,L24-29,1,0,0,51,1,1,100.0,3,3,100.0,0,5,66.4,1,4,21.5,Dan Bailey,2012
9,11/04,@ATL,L13-19,1,0,0,32,3,2,66.7,1,1,100.0,0,4,64.3,2,2,22.5,Dan Bailey,2012
10,11/11,@PHI,W38-23,1,0,0,30,1,1,100.0,5,5,100.0,0,7,61.9,2,5,18.8,Dan Bailey,2012
11,11/18,CLE,W23-20,1,0,0,44,3,3,100.0,2,2,100.0,0,5,49.6,0,5,10.8,Dan Bailey,2012
12,11/22,WAS,L31-38,1,0,0,51,3,3,100.0,2,2,100.0,0,7,62.1,4,3,27.7,Dan Bailey,2012
13,12/02,PHI,W38-33,1,0,0,39,1,1,100.0,5,5,100.0,0,7,66.4,4,3,21.7,Dan Bailey,2012
14,12/09,@CIN,W20-19,1,0,0,40,2,2,100.0,2,2,100.0,0,4,65.0,1,3,21.7,Dan Bailey,2012
15,12/16,PIT,W27-24,1,0,0,50,2,2,100.0,3,3,100.0,0,6,62.5,4,2,24.5,Dan Bailey,2012
16,12/23,NO,L31-34,1,0,0,47,1,1,100.0,4,4,100.0,0,6,63.5,2,4,15.0,Dan Bailey,2012
17,12/30,@WAS,L18-28,1,0,0,48,1,1,100.0,1,1,100.0,0,4,62.5,0,4,27.3,Dan Bailey,2012
1,09/11,@NYJ,L24-27,1,0,0,34,1,1,100.0,3,3,100.0,0,--,--,--,--,--,Dan Bailey,2011
2,09/18,@SF,W27-24,1,0,0,48,3,2,66.7,3,3,100.0,0,--,--,--,--,--,Dan Bailey,2011
3,09/26,WAS,W18-16,1,0,0,41,6,6,100.0,0,0,--,0,7,64.1,2,5,20.0,Dan Bailey,2011
4,10/02,DET,L30-34,1,0,0,41,3,3,100.0,3,3,100.0,0,6,65.7,3,3,25.3,Dan Bailey,2011
5,Bye,,,,,,,,,,,,,,,,,,,Dan Bailey,2011
6,10/16,@NE,L16-20,1,0,0,48,3,3,100.0,1,1,100.0,0,5,62.6,0,5,20.6,Dan Bailey,2011
7,10/23,STL,W34-7,1,0,0,51,2,2,100.0,4,4,100.0,0,7,66.4,1,5,22.8,Dan Bailey,2011
8,10/30,@PHI,L7-34,1,0,0,0,0,0,--,1,1,100.0,0,--,--,--,--,--,Dan Bailey,2011
9,11/06,SEA,W23-13,1,0,0,42,3,3,100.0,2,2,100.0,0,--,--,--,--,--,Dan Bailey,2011
10,11/13,BUF,W44-7,1,0,0,45,3,3,100.0,5,5,100.0,0,9,67.4,6,3,20.3,Dan Bailey,2011
11,11/20,@WAS,W27-24,1,0,0,39,2,2,100.0,3,3,100.0,0,6,68.5,2,4,23.3,Dan Bailey,2011
12,11/24,MIA,W20-19,1,0,0,32,2,2,100.0,2,2,100.0,0,4,67.5,1,3,30.7,Dan Bailey,2011
13,12/04,@ARI,L13-19,1,0,0,50,4,2,50.0,1,1,100.0,0,5,67.2,2,3,22.0,Dan Bailey,2011
14,12/11,NYG,L34-37,1,0,1,49,3,2,66.7,4,4,100.0,0,7,67.0,4,3,21.0,Dan Bailey,2011
15,12/17,@TB,W31-15,1,0,0,30,1,1,100.0,4,4,100.0,0,6,62.7,2,4,17.5,Dan Bailey,2011
16,12/24,PHI,L7-20,1,0,0,0,0,0,--,1,1,100.0,0,2,49.5,1,1,3.0,Dan Bailey,2011
17,01/01,@NYG,L14-31,1,0,0,0,1,0,0.0,2,2,100.0,0,3,62.7,0,3,22.0,Dan Bailey,2011
5,10/11,JAC,W38-31,1,0,0,47,3,3,100.0,3,3,100.0,0,8,66.8,5,3,31.0,Connor Barth,2015
6,Bye,,,,,,,,,,,,,,,,,,,Connor Barth,2015
7,10/25,@WAS,L30-31,1,0,0,45,3,3,100.0,3,3,100.0,0,7,66.1,5,2,24.0,Connor Barth,2015
8,11/01,@ATL,W23-20,1,0,0,38,3,3,100.0,2,2,100.0,0,6,67.0,4,2,29.0,Connor Barth,2015
9,11/08,NYG,L18-32,1,0,0,53,5,4,80.0,0,0,--,0,6,66.7,4,2,27.0,Connor Barth,2015
10,11/15,DAL,W10-6,1,0,0,52,2,1,50.0,1,1,100.0,0,3,56.7,1,2,17.5,Connor Barth,2015
11,11/22,@PHI,W45-17,1,0,0,28,1,1,100.0,6,6,100.0,0,8,65.4,3,5,22.4,Connor Barth,2015
12,11/29,@IND,L12-25,1,0,0,38,3,2,66.7,0,1,0.0,0,4,68.3,0,4,21.0,Connor Barth,2015
13,12/06,ATL,W23-19,1,0,0,23,1,1,100.0,2,2,100.0,0,5,66.0,3,2,23.5,Connor Barth,2015
14,12/13,NO,L17-24,1,0,0,39,2,1,50.0,2,2,100.0,0,4,58.5,3,1,0.0,Connor Barth,2015
15,12/17,@STL,L23-31,1,0,0,53,3,3,100.0,2,2,100.0,0,6,55.0,0,5,37.6,Connor Barth,2015
16,12/27,CHI,L21-26,1,0,0,0,1,0,0.0,3,3,100.0,0,4,52.3,3,0,--,Connor Barth,2015
17,01/03,@CAR,L10-38,1,0,0,39,1,1,100.0,1,1,100.0,0,3,64.7,1,2,25.5,Connor Barth,2015
13,11/30,@KC,W29-16,1,0,0,37,5,5,100.0,2,2,100.0,0,8,57.0,0,8,24.9,Connor Barth,2014
14,12/07,BUF,W24-17,1,0,0,50,1,1,100.0,3,3,100.0,0,--,--,--,--,--,Connor Barth,2014
15,12/14,@SD,W22-10,1,0,0,49,5,5,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2014
16,12/22,@CIN,L28-37,1,0,0,0,1,0,0.0,4,4,100.0,0,--,--,--,--,--,Connor Barth,2014
17,12/28,OAK,W47-14,1,0,0,49,4,4,100.0,5,5,100.0,0,--,--,--,--,--,Connor Barth,2014
1,09/09,CAR,W16-10,1,0,0,40,3,3,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2012
2,09/16,@NYG,L34-41,1,0,0,52,2,2,100.0,4,4,100.0,0,--,--,--,--,--,Connor Barth,2012
3,09/23,@DAL,L10-16,1,0,0,28,1,1,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2012
4,09/30,WAS,L22-24,1,0,0,57,3,3,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2012
5,Bye,,,,,,,,,,,,,,,,,,,Connor Barth,2012
6,10/14,KC,W38-10,1,0,0,27,2,1,50.0,5,5,100.0,0,--,--,--,--,--,Connor Barth,2012
7,10/21,NO,L28-35,1,0,0,0,1,0,0.0,4,4,100.0,0,--,--,--,--,--,Connor Barth,2012
8,10/25,@MIN,W36-17,1,0,0,40,3,3,100.0,3,3,100.0,0,--,--,--,--,--,Connor Barth,2012
9,11/04,@OAK,W42-32,1,0,1,0,2,0,0.0,6,6,100.0,0,--,--,--,--,--,Connor Barth,2012
10,11/11,SD,W34-24,1,0,0,45,2,2,100.0,4,4,100.0,0,--,--,--,--,--,Connor Barth,2012
11,11/18,@CAR,W27-21,1,0,0,51,2,2,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2012
12,11/25,ATL,L23-24,1,0,0,48,4,3,75.0,2,2,100.0,0,--,--,--,--,--,Connor Barth,2012
13,12/02,@DEN,L23-31,1,0,0,55,3,3,100.0,2,2,100.0,0,--,--,--,--,--,Connor Barth,2012
14,12/09,PHI,L21-23,1,0,0,0,0,0,--,3,3,100.0,0,--,--,--,--,--,Connor Barth,2012
15,12/16,@NO,L0-41,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Connor Barth,2012
16,12/23,STL,L13-28,1,0,0,49,2,2,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2012
17,12/30,@ATL,W22-17,1,0,0,48,3,3,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2012
1,09/11,DET,L20-27,1,0,0,38,2,2,100.0,2,2,100.0,0,--,--,--,--,--,Connor Barth,2011
2,09/18,@MIN,W24-20,1,0,0,36,1,1,100.0,3,3,100.0,0,--,--,--,--,--,Connor Barth,2011
3,09/25,ATL,W16-13,1,0,0,49,3,3,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
4,10/03,IND,W24-17,1,0,0,46,2,1,50.0,3,3,100.0,0,--,--,--,--,--,Connor Barth,2011
5,10/09,@SF,L3-48,1,0,0,24,1,1,100.0,0,0,--,0,--,--,--,--,--,Connor Barth,2011
6,10/16,NO,W26-20,1,0,0,48,5,4,80.0,2,2,100.0,0,--,--,--,--,--,Connor Barth,2011
7,10/23,CHI,L18-24,1,0,0,33,1,1,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
8,Bye,,,,,,,,,,,,,,,,,,,Connor Barth,2011
9,11/06,@NO,L16-27,1,0,0,48,3,3,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
10,11/13,HOU,L9-37,1,0,0,55,1,1,100.0,0,0,--,0,--,--,--,--,--,Connor Barth,2011
11,11/20,@GB,L26-35,1,0,0,32,2,2,100.0,2,2,100.0,0,--,--,--,--,--,Connor Barth,2011
12,11/27,@TEN,L17-23,1,0,0,43,1,1,100.0,2,2,100.0,0,--,--,--,--,--,Connor Barth,2011
13,12/04,CAR,L19-38,1,0,0,50,4,4,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
14,12/11,@JAC,L14-41,1,0,0,0,0,0,--,2,2,100.0,0,--,--,--,--,--,Connor Barth,2011
15,12/17,DAL,L15-31,1,0,0,0,0,0,--,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
16,12/24,@CAR,L16-48,1,0,0,42,1,1,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
17,01/01,@ATL,L24-45,1,0,0,41,1,1,100.0,1,1,100.0,0,--,--,--,--,--,Connor Barth,2011
1,09/12,CLE,W17-14,1,0,0,49,1,1,100.0,2,2,100.0,0,4,59.3,0,4,14.3,Connor Barth,2010
2,09/19,@CAR,W20-7,1,0,0,33,2,2,100.0,2,2,100.0,0,5,63.8,0,5,18.4,Connor Barth,2010
3,09/26,PIT,L13-38,1,0,0,40,2,2,100.0,1,1,100.0,0,4,65.3,0,4,21.0,Connor Barth,2010
4,Bye,,,,,,,,,,,,,,,,,,,Connor Barth,2010
5,10/10,@CIN,W24-21,1,0,0,31,1,1,100.0,3,3,100.0,0,5,62.4,0,5,20.4,Connor Barth,2010
6,10/17,NO,L6-31,1,0,0,0,2,0,0.0,0,0,--,0,2,41.0,0,1,8.0,Connor Barth,2010
7,10/24,STL,W18-17,1,0,0,53,4,4,100.0,0,0,--,0,6,68.5,0,6,23.0,Connor Barth,2010
8,10/31,@ARI,W38-35,1,0,1,21,2,1,50.0,5,5,100.0,0,6,65.3,0,6,23.8,Connor Barth,2010
9,11/07,@ATL,L21-27,1,0,0,0,0,0,--,3,3,100.0,0,4,53.5,0,3,23.3,Connor Barth,2010
10,11/14,CAR,W31-16,1,0,0,32,1,1,100.0,4,4,100.0,0,6,68.0,1,5,20.2,Connor Barth,2010
11,11/21,@SF,W21-0,1,0,0,0,1,0,0.0,3,3,100.0,0,4,58.3,0,4,20.3,Connor Barth,2010
12,11/28,@BAL,L10-17,1,0,0,22,1,1,100.0,1,1,100.0,0,3,70.7,0,3,21.3,Connor Barth,2010
13,12/05,ATL,L24-28,1,0,0,33,1,1,100.0,3,3,100.0,0,5,63.4,0,5,36.2,Connor Barth,2010
14,12/12,@WAS,W17-16,1,0,0,44,3,3,100.0,0,0,--,0,5,52.2,0,5,14.4,Connor Barth,2010
15,12/19,DET,L20-23,1,0,0,30,2,2,100.0,2,2,100.0,0,6,58.7,0,6,15.2,Connor Barth,2010
16,12/26,SEA,W38-15,1,0,1,46,2,1,50.0,5,5,100.0,0,7,56.9,0,7,18.3,Connor Barth,2010
17,01/02,@NO,W23-13,1,0,0,48,3,3,100.0,2,2,100.0,0,6,67.0,0,6,23.7,Connor Barth,2010
5,10/12,@SD,W24-20,1,0,0,47,1,1,100.0,3,3,100.0,0,4,67.0,3,1,30.0,Chris Boswell,2015
6,10/18,ARI,W25-13,1,0,0,51,4,4,100.0,1,1,100.0,0,7,63.1,1,6,20.3,Chris Boswell,2015
7,10/25,@KC,L13-23,1,0,0,36,2,2,100.0,1,1,100.0,0,4,68.0,1,3,25.3,Chris Boswell,2015
8,11/01,CIN,L10-16,1,0,0,32,1,1,100.0,1,1,100.0,0,3,63.0,1,2,26.0,Chris Boswell,2015
9,11/08,OAK,W38-35,1,0,0,38,4,3,75.0,3,3,100.0,0,8,61.3,2,5,14.8,Chris Boswell,2015
10,11/15,CLE,W30-9,1,0,0,34,3,3,100.0,1,2,50.0,0,7,67.4,3,4,25.0,Chris Boswell,2015
11,Bye,,,,,,,,,,,,,,,,,,,Chris Boswell,2015
12,11/29,@SEA,L30-39,1,0,0,44,3,3,100.0,1,1,100.0,0,7,64.6,2,5,29.6,Chris Boswell,2015
13,12/06,IND,W45-10,1,0,0,51,4,3,75.0,4,4,100.0,0,9,57.7,3,6,20.8,Chris Boswell,2015
14,12/13,@CIN,W33-20,1,0,0,47,4,4,100.0,3,3,100.0,0,8,66.3,5,3,22.7,Chris Boswell,2015
15,12/20,DEN,W34-27,1,0,0,41,2,2,100.0,4,4,100.0,0,7,62.0,3,4,18.5,Chris Boswell,2015
16,12/27,@BAL,L17-20,1,0,0,34,1,1,100.0,2,2,100.0,0,4,64.3,1,3,24.3,Chris Boswell,2015
17,01/03,@CLE,W28-12,1,0,0,39,3,2,66.7,2,2,100.0,0,6,64.7,1,5,24.0,Chris Boswell,2015
1,09/13,@DAL,L26-27,1,0,0,50,4,4,100.0,2,2,100.0,0,7,62.6,2,5,19.2,Josh Brown,2015
2,09/20,ATL,L20-24,1,0,0,44,2,2,100.0,2,2,100.0,0,5,61.6,3,2,15.5,Josh Brown,2015
3,09/24,WAS,W32-21,1,0,0,48,3,3,100.0,3,3,100.0,0,7,64.0,3,4,39.5,Josh Brown,2015
4,10/04,@BUF,W24-10,1,0,0,47,1,1,100.0,1,2,50.0,0,5,60.4,1,4,17.0,Josh Brown,2015
5,10/11,SF,W30-27,1,0,0,41,3,3,100.0,3,3,100.0,0,7,62.7,5,2,12.5,Josh Brown,2015
6,10/19,@PHI,L7-27,1,0,0,0,0,0,--,1,1,100.0,0,2,64.5,0,2,16.5,Josh Brown,2015
7,10/25,DAL,W27-20,1,0,0,47,2,2,100.0,3,3,100.0,0,6,61.3,2,3,22.0,Josh Brown,2015
8,11/01,@NO,L49-52,1,0,0,0,0,0,--,7,7,100.0,0,8,61.1,6,2,13.0,Josh Brown,2015
9,11/08,@TB,W32-18,1,0,0,53,4,4,100.0,2,2,100.0,0,7,67.3,3,4,21.8,Josh Brown,2015
10,11/15,NE,L26-27,1,0,0,53,4,4,100.0,2,2,100.0,0,7,63.4,3,4,17.8,Josh Brown,2015
11,Bye,,,,,,,,,,,,,,,,,,,Josh Brown,2015
12,11/29,@WAS,L14-20,1,0,0,0,0,0,--,2,2,100.0,0,3,67.3,0,3,19.3,Josh Brown,2015
13,12/06,NYJ,L20-23,1,0,0,35,3,2,66.7,2,2,100.0,0,6,62.5,1,5,21.6,Josh Brown,2015
14,12/14,@MIA,W31-24,1,0,0,35,2,1,50.0,4,4,100.0,0,6,67.3,2,4,27.3,Josh Brown,2015
15,12/20,CAR,L35-38,1,0,0,0,0,0,--,5,5,100.0,0,6,59.5,1,5,16.4,Josh Brown,2015
16,12/27,@MIN,L17-49,1,0,0,27,1,1,100.0,2,2,100.0,0,4,30.5,0,3,17.7,Josh Brown,2015
17,01/03,PHI,L30-35,1,0,0,48,3,3,100.0,3,3,100.0,0,7,61.6,5,2,12.0,Josh Brown,2015
1,09/08,@DET,L14-35,1,0,0,0,0,0,--,2,2,100.0,0,3,65.0,3,0,--,Josh Brown,2014
2,09/14,ARI,L14-25,1,0,0,0,0,0,--,2,2,100.0,0,3,65.3,1,2,14.0,Josh Brown,2014
3,09/21,HOU,W30-17,1,0,0,39,3,3,100.0,3,3,100.0,0,7,66.7,4,3,22.3,Josh Brown,2014
4,09/25,@WAS,W45-14,1,0,0,29,1,1,100.0,6,6,100.0,0,7,63.0,5,2,16.5,Josh Brown,2014
5,10/05,ATL,W30-20,1,0,0,50,3,3,100.0,3,3,100.0,0,7,63.4,3,4,17.5,Josh Brown,2014
6,10/12,@PHI,L0-27,1,0,--,--,--,--,--,--,--,--,--,1,65.0,1,0,--,Josh Brown,2014
7,10/19,@DAL,L21-31,1,0,0,0,0,0,--,3,3,100.0,0,4,65.0,4,0,--,Josh Brown,2014
8,Bye,,,,,,,,,,,,,,,,,,,Josh Brown,2014
9,11/03,IND,L24-40,1,0,0,38,1,1,100.0,3,3,100.0,0,5,48.2,1,3,12.0,Josh Brown,2014
10,11/09,@SEA,L17-38,1,0,0,41,1,1,100.0,2,2,100.0,0,3,66.7,2,1,28.0,Josh Brown,2014
11,11/16,SF,L10-16,1,0,0,43,1,1,100.0,1,1,100.0,0,3,47.3,1,1,26.0,Josh Brown,2014
12,11/23,DAL,L28-31,1,0,0,0,0,0,--,4,4,100.0,0,5,63.8,4,1,22.0,Josh Brown,2014
13,11/30,@JAC,L24-25,1,0,0,33,2,1,50.0,3,3,100.0,0,5,64.2,2,3,17.0,Josh Brown,2014
14,12/07,@TEN,W36-7,1,0,0,52,5,5,100.0,3,3,100.0,0,9,60.9,5,4,15.8,Josh Brown,2014
15,12/14,WAS,W24-13,1,0,0,32,1,1,100.0,3,3,100.0,0,5,55.4,2,1,33.0,Josh Brown,2014
16,12/21,@STL,W37-27,1,0,1,52,4,3,75.0,4,4,100.0,0,8,63.9,3,5,18.0,Josh Brown,2014
17,12/28,PHI,L26-34,1,0,0,53,4,4,100.0,2,2,100.0,0,7,63.6,5,2,20.0,Josh Brown,2014
1,09/08,@DAL,L31-36,1,0,0,20,1,1,100.0,4,4,100.0,0,6,62.0,5,0,--,Josh Brown,2013
2,09/15,DEN,L23-41,1,0,0,41,3,3,100.0,2,2,100.0,0,6,57.5,3,2,17.0,Josh Brown,2013
3,09/22,@CAR,L0-38,1,0,0,0,1,0,0.0,0,0,--,0,1,65.0,1,0,--,Josh Brown,2013
4,09/29,@KC,L7-31,1,0,0,0,1,0,0.0,1,1,100.0,0,2,67.0,1,1,22.0,Josh Brown,2013
5,10/06,PHI,L21-36,1,0,0,0,0,0,--,3,3,100.0,0,4,67.3,4,0,--,Josh Brown,2013
6,10/10,@CHI,L21-27,1,0,0,0,0,0,--,3,3,100.0,0,4,67.5,1,3,24.3,Josh Brown,2013
7,10/21,MIN,W23-7,1,0,0,36,3,3,100.0,2,2,100.0,0,6,60.0,3,3,30.0,Josh Brown,2013
8,10/27,@PHI,W15-7,1,0,0,46,5,5,100.0,0,0,--,0,6,66.7,4,2,28.0,Josh Brown,2013
9,Bye,,,,,,,,,,,,,,,,,,,Josh Brown,2013
10,11/10,OAK,W24-20,1,0,0,23,1,1,100.0,3,3,100.0,0,5,68.6,3,2,38.5,Josh Brown,2013
11,11/17,GB,W27-13,1,0,0,40,2,2,100.0,3,3,100.0,0,6,70.5,3,3,23.0,Josh Brown,2013
12,11/24,DAL,L21-24,1,0,0,23,2,2,100.0,1,1,100.0,0,5,55.4,1,3,21.7,Josh Brown,2013
13,12/01,@WAS,W24-17,1,0,0,39,1,1,100.0,3,3,100.0,0,5,60.4,2,3,17.7,Josh Brown,2013
14,12/08,@SD,L14-37,1,0,0,0,0,0,--,2,2,100.0,0,3,64.7,1,2,17.0,Josh Brown,2013
15,12/15,SEA,L0-23,1,0,--,--,--,--,--,--,--,--,--,1,73.0,1,0,--,Josh Brown,2013
16,12/22,@DET,W23-20,1,0,0,52,3,3,100.0,2,2,100.0,0,5,66.8,2,3,17.0,Josh Brown,2013
17,12/29,WAS,W20-6,1,0,0,38,3,2,66.7,2,2,100.0,0,5,63.4,0,5,18.6,Josh Brown,2013
14,12/09,DAL,L19-20,1,0,0,52,4,4,100.0,1,1,100.0,0,6,70.8,5,1,14.0,Josh Brown,2012
15,12/13,@PHI,W34-13,1,0,0,32,2,2,100.0,4,4,100.0,0,7,62.1,0,7,18.6,Josh Brown,2012
16,12/23,@PIT,W13-10,1,0,0,43,3,2,66.7,1,1,100.0,0,4,59.5,1,3,22.3,Josh Brown,2012
17,12/30,BAL,W23-17,1,0,0,47,3,3,100.0,2,2,100.0,0,6,68.5,0,6,23.5,Josh Brown,2012
