"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Luke Stocker",2500,"TB@Ari 04:05PM ET",0.000,"TB"
"TE","Sean McGrath",2500,"Jax@SD 04:25PM ET",0.000,"SD"
"TE","Rhett Ellison",2500,"GB@Min 08:30PM ET",0.000,"Min"
"TE","Patrick Scales",2500,"Phi@Chi 08:30PM ET",0.000,"Chi"
"TE","Niles Paul",2500,"Dal@Was 01:00PM ET",0.000,"Was"
"TE","Cory Harkey",2500,"Sea@LA 04:05PM ET",0.000,"LA"
"TE","Beau Brinkley",2500,"Ten@Det 01:00PM ET",0.000,"Ten"
"TE","Kevin McDermott",2500,"GB@Min 08:30PM ET",0.000,"Min"
"TE","MarQueis Gray",2500,"Mia@NE 01:00PM ET",0.000,"Mia"
"TE","Greg Scruggs",2500,"Phi@Chi 08:30PM ET",0.000,"Chi"
"TE","Ryan Griffin",2500,"KC@Hou 01:00PM ET",3.700,"Hou"
"TE","Josh Hill",2500,"NO@NYG 01:00PM ET",0.000,"NO"
"TE","James Winchester",2500,"KC@Hou 01:00PM ET",0.000,"KC"
"TE","Jack Doyle",2500,"Ind@Den 04:25PM ET",18.500,"Ind"
